model,dataset,clf,color_space,n_colors,test_loss,test_acc
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,64,-,0.8339
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,32,-,0.8322
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,16,-,0.8302
simple_cifar10_gray16.h5,fashion_mnist,lr,gray,8,-,0.8236
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,256,-,0.8407
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,128,-,0.84
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,64,-,0.8397
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,32,-,0.8385
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,16,-,0.8311
simple_cifar10_gray256.h5,fashion_mnist,lr,gray,8,-,0.8295
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,256,-,0.8388
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,128,-,0.8378
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,64,-,0.8379
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,32,-,0.8382
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,16,-,0.8317
simple_cifar10_gray32.h5,fashion_mnist,lr,gray,8,-,0.8248
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,256,-,0.8359
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,128,-,0.8338
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,64,-,0.8356
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,32,-,0.8346
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,16,-,0.8252
simple_cifar10_gray64.h5,fashion_mnist,lr,gray,8,-,0.8208
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,256,-,0.8238
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,128,-,0.8235
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,64,-,0.8189
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,32,-,0.8199
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,16,-,0.8173
simple_cifar10_gray8.h5,fashion_mnist,lr,gray,8,-,0.8136
simple_cifar10_rgb.h5,fashion_mnist,lr,rgb,256,-,0.8363
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,256,-,0.8402
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,128,-,0.8377
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,64,-,0.8354
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,32,-,0.8359
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,16,-,0.8316
simple_cifar10_rgb.h5,fashion_mnist,lr,gray,8,-,0.8263
