model,dataset,clf,color_space,n_colors,test_loss,test_acc
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,256,0.8242448694229126,0.8366
resnet20_cifar10_gray64.h5,cifar10,lr,gray,256,-,0.8687
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,128,0.8292244844436646,0.8346
resnet20_cifar10_gray64.h5,cifar10,lr,gray,128,-,0.8695
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,64,0.8546092315673828,0.8309
resnet20_cifar10_gray64.h5,cifar10,lr,gray,64,-,0.8673
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,32,0.9666913144111633,0.8018
resnet20_cifar10_gray64.h5,cifar10,lr,gray,32,-,0.8551
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,16,1.24784862575531,0.7378
resnet20_cifar10_gray64.h5,cifar10,lr,gray,16,-,0.8284
resnet20_cifar10_gray64.h5,cifar10,cnn,gray,8,1.794211262512207,0.6198
resnet20_cifar10_gray64.h5,cifar10,lr,gray,8,-,0.7467
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,256,1.2123921775817872,0.775
resnet20_cifar10_gray8.h5,cifar10,lr,gray,256,-,0.8503
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,128,1.2162671551704407,0.7739
resnet20_cifar10_gray8.h5,cifar10,lr,gray,128,-,0.8498
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,64,1.2313399375915528,0.7719
resnet20_cifar10_gray8.h5,cifar10,lr,gray,64,-,0.8492
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,32,1.2765450199127197,0.7636
resnet20_cifar10_gray8.h5,cifar10,lr,gray,32,-,0.8487
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,16,1.3321556336402893,0.7524
resnet20_cifar10_gray8.h5,cifar10,lr,gray,16,-,0.8387
resnet20_cifar10_gray8.h5,cifar10,cnn,gray,8,1.3935613647460938,0.7374
resnet20_cifar10_gray8.h5,cifar10,lr,gray,8,-,0.8111
resnet20_cifar10_rgb.h5,cifar10,cnn,rgb,256,0.6930835039138794,0.859
resnet20_cifar10_rgb.h5,cifar10,lr,rgb,256,-,0.8988
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,256,1.1310679408073425,0.7532
resnet20_cifar10_rgb.h5,cifar10,lr,gray,256,-,0.8473
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,128,1.1406742415428162,0.7518
resnet20_cifar10_rgb.h5,cifar10,lr,gray,128,-,0.8462
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,64,1.1791159261703492,0.7435
resnet20_cifar10_rgb.h5,cifar10,lr,gray,64,-,0.8434
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,32,1.3270011877059937,0.7086
resnet20_cifar10_rgb.h5,cifar10,lr,gray,32,-,0.8301
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,16,1.619507928085327,0.6561
resnet20_cifar10_rgb.h5,cifar10,lr,gray,16,-,0.7968
resnet20_cifar10_rgb.h5,cifar10,cnn,gray,8,2.1099706647872924,0.5528
resnet20_cifar10_rgb.h5,cifar10,lr,gray,8,-,0.7216
simple_cifar10_gray128.h5,cifar10,cnn,gray,256,0.7517071954727172,0.7463
simple_cifar10_gray128.h5,cifar10,lr,gray,256,-,0.7698
simple_cifar10_gray128.h5,cifar10,cnn,gray,128,0.7558260012626647,0.7453
simple_cifar10_gray128.h5,cifar10,lr,gray,128,-,0.7706
simple_cifar10_gray128.h5,cifar10,cnn,gray,64,0.7715586759567261,0.7388
simple_cifar10_gray128.h5,cifar10,lr,gray,64,-,0.7707
simple_cifar10_gray128.h5,cifar10,cnn,gray,32,0.8238060926437378,0.717
simple_cifar10_gray128.h5,cifar10,lr,gray,32,-,0.7626
simple_cifar10_gray128.h5,cifar10,cnn,gray,16,0.9787976719856262,0.6564
simple_cifar10_gray128.h5,cifar10,lr,gray,16,-,0.7351
simple_cifar10_gray128.h5,cifar10,cnn,gray,8,1.2402333709716797,0.5726
simple_cifar10_gray128.h5,cifar10,lr,gray,8,-,0.6733
simple_cifar10_gray16.h5,cifar10,cnn,gray,256,0.792673703956604,0.7438
simple_cifar10_gray16.h5,cifar10,lr,gray,256,-,0.7753
simple_cifar10_gray16.h5,cifar10,cnn,gray,128,0.7925035147666931,0.7443
simple_cifar10_gray16.h5,cifar10,lr,gray,128,-,0.7737
simple_cifar10_gray16.h5,cifar10,cnn,gray,64,0.7901966808795929,0.7433
simple_cifar10_gray16.h5,cifar10,lr,gray,64,-,0.7738
simple_cifar10_gray16.h5,cifar10,cnn,gray,32,0.7847536518096924,0.7443
simple_cifar10_gray16.h5,cifar10,lr,gray,32,-,0.7704
simple_cifar10_gray16.h5,cifar10,cnn,gray,16,0.8313814136505127,0.7211
simple_cifar10_gray16.h5,cifar10,lr,gray,16,-,0.7636
simple_cifar10_gray16.h5,cifar10,cnn,gray,8,1.080514697265625,0.645
simple_cifar10_gray16.h5,cifar10,lr,gray,8,-,0.7149
simple_cifar10_gray256.h5,cifar10,cnn,gray,256,0.8106681095123291,0.7411
simple_cifar10_gray256.h5,cifar10,lr,gray,256,-,0.7769
simple_cifar10_gray256.h5,cifar10,cnn,gray,128,0.8163315655708313,0.7384
simple_cifar10_gray256.h5,cifar10,lr,gray,128,-,0.7775
simple_cifar10_gray256.h5,cifar10,cnn,gray,64,0.8368096283912658,0.7321
simple_cifar10_gray256.h5,cifar10,lr,gray,64,-,0.7744
simple_cifar10_gray256.h5,cifar10,cnn,gray,32,0.9066207143783569,0.7059
simple_cifar10_gray256.h5,cifar10,lr,gray,32,-,0.7663
simple_cifar10_gray256.h5,cifar10,cnn,gray,16,1.0729235605239869,0.6387
simple_cifar10_gray256.h5,cifar10,lr,gray,16,-,0.741
simple_cifar10_gray256.h5,cifar10,cnn,gray,8,1.2722983045578002,0.5629
simple_cifar10_gray256.h5,cifar10,lr,gray,8,-,0.6804
simple_cifar10_gray32.h5,cifar10,cnn,gray,256,0.7511606763839722,0.7465
simple_cifar10_gray32.h5,cifar10,lr,gray,256,-,0.7782
simple_cifar10_gray32.h5,cifar10,cnn,gray,128,0.7529803980827332,0.7457
simple_cifar10_gray32.h5,cifar10,lr,gray,128,-,0.7789
simple_cifar10_gray32.h5,cifar10,cnn,gray,64,0.7589927248954773,0.7454
simple_cifar10_gray32.h5,cifar10,lr,gray,64,-,0.7767
simple_cifar10_gray32.h5,cifar10,cnn,gray,32,0.7950673204421997,0.7342
simple_cifar10_gray32.h5,cifar10,lr,gray,32,-,0.7737
simple_cifar10_gray32.h5,cifar10,cnn,gray,16,0.9598081469535827,0.6791
simple_cifar10_gray32.h5,cifar10,lr,gray,16,-,0.7548
simple_cifar10_gray32.h5,cifar10,cnn,gray,8,1.2354757057189942,0.5884
simple_cifar10_gray32.h5,cifar10,lr,gray,8,-,0.698
simple_cifar10_gray64.h5,cifar10,cnn,gray,256,0.742162734413147,0.7601
simple_cifar10_gray64.h5,cifar10,lr,gray,256,-,0.778
simple_cifar10_gray64.h5,cifar10,cnn,gray,128,0.74311352891922,0.7602
simple_cifar10_gray64.h5,cifar10,lr,gray,128,-,0.7782
simple_cifar10_gray64.h5,cifar10,cnn,gray,64,0.7472587921142578,0.7556
simple_cifar10_gray64.h5,cifar10,lr,gray,64,-,0.7754
simple_cifar10_gray64.h5,cifar10,cnn,gray,32,0.7821223208427429,0.7393
simple_cifar10_gray64.h5,cifar10,lr,gray,32,-,0.77
simple_cifar10_gray64.h5,cifar10,cnn,gray,16,0.9036486318588257,0.7011
simple_cifar10_gray64.h5,cifar10,lr,gray,16,-,0.7474
simple_cifar10_gray64.h5,cifar10,cnn,gray,8,1.1764760772705078,0.6241
simple_cifar10_gray64.h5,cifar10,lr,gray,8,-,0.6955
simple_cifar10_gray8.h5,cifar10,cnn,gray,256,0.8507120315551758,0.7214
simple_cifar10_gray8.h5,cifar10,lr,gray,256,-,0.7606
simple_cifar10_gray8.h5,cifar10,cnn,gray,128,0.8510843948364257,0.7211
simple_cifar10_gray8.h5,cifar10,lr,gray,128,-,0.7596
simple_cifar10_gray8.h5,cifar10,cnn,gray,64,0.8520305386543274,0.7212
simple_cifar10_gray8.h5,cifar10,lr,gray,64,-,0.761
simple_cifar10_gray8.h5,cifar10,cnn,gray,32,0.8489140147209168,0.7238
simple_cifar10_gray8.h5,cifar10,lr,gray,32,-,0.7608
simple_cifar10_gray8.h5,cifar10,cnn,gray,16,0.8550840503692627,0.7151
simple_cifar10_gray8.h5,cifar10,lr,gray,16,-,0.7576
