model,dataset,clf,color_space,n_colors,test_loss,test_acc
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,256,-,0.3456
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,128,-,0.3455
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,64,-,0.3406
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,32,-,0.3344
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,16,-,0.3206
simple_cifar10_gray256.h5,cifar100_coarse,lr,gray,8,-,0.2934
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,256,-,0.3625
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,128,-,0.361
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,64,-,0.3616
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,32,-,0.3533
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,16,-,0.341
simple_cifar10_gray32.h5,cifar100_coarse,lr,gray,8,-,0.3087
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,256,-,0.3833
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,128,-,0.3792
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,64,-,0.3792
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,32,-,0.3703
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,16,-,0.363
simple_cifar10_gray64.h5,cifar100_coarse,lr,gray,8,-,0.328
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,256,-,0.3624
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,128,-,0.3655
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,64,-,0.3664
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,32,-,0.3616
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,16,-,0.3588
simple_cifar10_gray8.h5,cifar100_coarse,lr,gray,8,-,0.3418
simple_cifar10_rgb.h5,cifar100_coarse,lr,rgb,256,-,0.3785
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,256,-,0.3506
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,128,-,0.3473
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,64,-,0.3472
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,32,-,0.3379
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,16,-,0.3245
simple_cifar10_rgb.h5,cifar100_coarse,lr,gray,8,-,0.2995
